character,character_id,cooldown,cost,id,multiplayer_hook,name,onfoot_effect,slot,status,tags,unlock,vehicle_effect
Lyra Dorn,char_lyra,18,Hitze 35,ab_char_lyra_vehicle_2,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Pistolenkuppel,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_2,Mondbrand,"[""vehicle"", ""leichter Rissjaeger"", ""Mondbrand""]",Dornwolf Modulstufe 2,"Pistolenkuppel ist die Signaturtechnik des Dornwolf (leichter Rissjaeger). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Lyra Dorn,char_lyra,30,Resonanzkern,ab_char_lyra_vehicle_3,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Dornramme,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_3,Mondbrand,"[""vehicle"", ""leichter Rissjaeger"", ""Mondbrand""]",Dornwolf Modulstufe 3,"Dornramme ist die Signaturtechnik des Dornwolf (leichter Rissjaeger). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Mira Voss,char_mira,0,keine,ab_char_mira_basic,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Miras Grundkette,"Schnelle Standardkombo, die Ressourcen erzeugt und den Charakterrhythmus lehrt. Spielt kontrolliert, analytisch, gefaehrlich.",basic,Siegelriss,"[""Controller / Runenbrecherin"", ""Siegelriss""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Mira Voss,char_mira,4,keine,ab_char_mira_heavy,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Miras Brecher,"Langsamer, schwerer Treffer mit hohem Haltungs- und Fahrzeugpanzer-Schaden. Spielt kontrolliert, analytisch, gefaehrlich.",heavy,Siegelriss,"[""Controller / Runenbrecherin"", ""Siegelriss""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Mira Voss,char_mira,8,1 Fokus,ab_char_mira_skill_1,"Wenn ein zweiter Spieler waehrend Siegelbruch ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Siegelbruch,"Siegelbruch ist eine Kerntechnik fuer Controller / Runenbrecherin: sie setzt Siegelriss ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_1,Siegelriss,"[""Graumarsch/Scherbenkrone"", ""Siegelriss"", ""onfoot""]",Kapitel 1: Sumpfkathedrale / Bindung 1,"Im Archivspinne wird Siegelbruch als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Mira Voss,char_mira,12,2 Fokus,ab_char_mira_skill_2,"Wenn ein zweiter Spieler waehrend Archivschnitt ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Archivschnitt,"Archivschnitt ist eine Kerntechnik fuer Controller / Runenbrecherin: sie setzt Siegelriss ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_2,Siegelriss,"[""Graumarsch/Scherbenkrone"", ""Siegelriss"", ""onfoot""]",Kapitel 1: Sumpfkathedrale / Bindung 1,"Im Archivspinne wird Archivschnitt als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Mira Voss,char_mira,16,1 Resonanz,ab_char_mira_skill_3,"Wenn ein zweiter Spieler waehrend Nullfeld ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Nullfeld,"Nullfeld ist eine Kerntechnik fuer Controller / Runenbrecherin: sie setzt Siegelriss ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_3,Siegelriss,"[""Graumarsch/Scherbenkrone"", ""Siegelriss"", ""onfoot""]",Kapitel 1: Sumpfkathedrale / Bindung 2,"Im Archivspinne wird Nullfeld als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Mira Voss,char_mira,20,2 Resonanz,ab_char_mira_skill_4,"Wenn ein zweiter Spieler waehrend Wahrheitsnaht ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Wahrheitsnaht,"Wahrheitsnaht ist eine Kerntechnik fuer Controller / Runenbrecherin: sie setzt Siegelriss ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_4,Siegelriss,"[""Graumarsch/Scherbenkrone"", ""Siegelriss"", ""onfoot""]",Kapitel 1: Sumpfkathedrale / Bindung 3,"Im Archivspinne wird Wahrheitsnaht als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Mira Voss,char_mira,90,volle Resonanz,ab_char_mira_ultimate,"Andere Spieler koennen innerhalb von 5 Sekunden einen Ultimate-Anker setzen, wodurch eine Konvoi-Ultimate entsteht.",Offenes Archiv,"Ultimative Charaktertechnik: Offenes Archiv verwandelt den persoenlichen Konflikt von Mira Voss in ein grosses Kampfereignis mit Schadens-, Kontroll- und Story-Callout.",ultimate,Siegelriss,"[""ultimate"", ""Siegelriss""]",Bindung 3 oder Story-Schluessel fuer Mira Voss,"Im Fahrzeug loest Offenes Archiv einen Signatur-Overdrive des Archivspinne aus, inklusive Spezialkamera und Teamfenster."
Mira Voss,char_mira,0,passiv,ab_char_mira_passive_1,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Narbeninstinkt,"Passiver Bonus, der Mira Vosss Thema 'Wahrheit, Schuld, Archivmagie' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Siegelriss und Dialog-/Questloesungen.",passive_1,Siegelriss,"[""passive""]",Talentreihe 1,"Gibt dem Archivspinne einen kleinen, aber buildpraegenden Bonus."
Mira Voss,char_mira,0,passiv,ab_char_mira_passive_2,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Regionale Handschrift,"Passiver Bonus, der Mira Vosss Thema 'Wahrheit, Schuld, Archivmagie' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Siegelriss und Dialog-/Questloesungen.",passive_2,Siegelriss,"[""passive""]",Talentreihe 2,"Gibt dem Archivspinne einen kleinen, aber buildpraegenden Bonus."
Mira Voss,char_mira,0,passiv,ab_char_mira_passive_3,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Bindungsschwur,"Passiver Bonus, der Mira Vosss Thema 'Wahrheit, Schuld, Archivmagie' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Siegelriss und Dialog-/Questloesungen.",passive_3,Siegelriss,"[""passive""]",Talentreihe 3,"Gibt dem Archivspinne einen kleinen, aber buildpraegenden Bonus."
Mira Voss,char_mira,10,Hitze 20,ab_char_mira_vehicle_1,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Runenminen,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_1,Siegelriss,"[""vehicle"", ""Sigil-Legerin"", ""Siegelriss""]",Archivspinne Modulstufe 1,"Runenminen ist die Signaturtechnik des Archivspinne (Sigil-Legerin). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Mira Voss,char_mira,18,Hitze 35,ab_char_mira_vehicle_2,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Gedaechtnisnetz,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_2,Siegelriss,"[""vehicle"", ""Sigil-Legerin"", ""Siegelriss""]",Archivspinne Modulstufe 2,"Gedaechtnisnetz ist die Signaturtechnik des Archivspinne (Sigil-Legerin). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Mira Voss,char_mira,30,Resonanzkern,ab_char_mira_vehicle_3,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Spiegelanker,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_3,Siegelriss,"[""vehicle"", ""Sigil-Legerin"", ""Siegelriss""]",Archivspinne Modulstufe 3,"Spiegelanker ist die Signaturtechnik des Archivspinne (Sigil-Legerin). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Tarek al-Sahir,char_tarek,0,keine,ab_char_tarek_basic,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Tareks Grundkette,"Schnelle Standardkombo, die Ressourcen erzeugt und den Charakterrhythmus lehrt. Spielt mobil, taeuschend, riskant.",basic,Schuldmarke,"[""Skirmisher / Taeuscher"", ""Schuldmarke""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Tarek al-Sahir,char_tarek,4,keine,ab_char_tarek_heavy,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Tareks Brecher,"Langsamer, schwerer Treffer mit hohem Haltungs- und Fahrzeugpanzer-Schaden. Spielt mobil, taeuschend, riskant.",heavy,Schuldmarke,"[""Skirmisher / Taeuscher"", ""Schuldmarke""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Tarek al-Sahir,char_tarek,8,1 Fokus,ab_char_tarek_skill_1,"Wenn ein zweiter Spieler waehrend Spiegelkoeder ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Spiegelkoeder,"Spiegelkoeder ist eine Kerntechnik fuer Skirmisher / Taeuscher: sie setzt Schuldmarke ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_1,Schuldmarke,"[""Sonnenglasweite"", ""Schuldmarke"", ""onfoot""]",Kapitel 2: Salzschuld / Bindung 1,"Im Glasfuchs wird Spiegelkoeder als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Tarek al-Sahir,char_tarek,12,2 Fokus,ab_char_tarek_skill_2,"Wenn ein zweiter Spieler waehrend Karawanensprung ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Karawanensprung,"Karawanensprung ist eine Kerntechnik fuer Skirmisher / Taeuscher: sie setzt Schuldmarke ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_2,Schuldmarke,"[""Sonnenglasweite"", ""Schuldmarke"", ""onfoot""]",Kapitel 2: Salzschuld / Bindung 1,"Im Glasfuchs wird Karawanensprung als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Tarek al-Sahir,char_tarek,16,1 Resonanz,ab_char_tarek_skill_3,"Wenn ein zweiter Spieler waehrend Salzspeerstich ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Salzspeerstich,"Salzspeerstich ist eine Kerntechnik fuer Skirmisher / Taeuscher: sie setzt Schuldmarke ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_3,Schuldmarke,"[""Sonnenglasweite"", ""Schuldmarke"", ""onfoot""]",Kapitel 2: Salzschuld / Bindung 2,"Im Glasfuchs wird Salzspeerstich als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Tarek al-Sahir,char_tarek,20,2 Resonanz,ab_char_tarek_skill_4,"Wenn ein zweiter Spieler waehrend Falscher Tod ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Falscher Tod,"Falscher Tod ist eine Kerntechnik fuer Skirmisher / Taeuscher: sie setzt Schuldmarke ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_4,Schuldmarke,"[""Sonnenglasweite"", ""Schuldmarke"", ""onfoot""]",Kapitel 2: Salzschuld / Bindung 3,"Im Glasfuchs wird Falscher Tod als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Tarek al-Sahir,char_tarek,90,volle Resonanz,ab_char_tarek_ultimate,"Andere Spieler koennen innerhalb von 5 Sekunden einen Ultimate-Anker setzen, wodurch eine Konvoi-Ultimate entsteht.",Hundert Vertraege,"Ultimative Charaktertechnik: Hundert Vertraege verwandelt den persoenlichen Konflikt von Tarek al-Sahir in ein grosses Kampfereignis mit Schadens-, Kontroll- und Story-Callout.",ultimate,Schuldmarke,"[""ultimate"", ""Schuldmarke""]",Bindung 3 oder Story-Schluessel fuer Tarek al-Sahir,"Im Fahrzeug loest Hundert Vertraege einen Signatur-Overdrive des Glasfuchs aus, inklusive Spezialkamera und Teamfenster."
Tarek al-Sahir,char_tarek,0,passiv,ab_char_tarek_passive_1,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Narbeninstinkt,"Passiver Bonus, der Tarek al-Sahirs Thema 'Schuld, Charme, Flucht und Bindung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Schuldmarke und Dialog-/Questloesungen.",passive_1,Schuldmarke,"[""passive""]",Talentreihe 1,"Gibt dem Glasfuchs einen kleinen, aber buildpraegenden Bonus."
Tarek al-Sahir,char_tarek,0,passiv,ab_char_tarek_passive_2,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Regionale Handschrift,"Passiver Bonus, der Tarek al-Sahirs Thema 'Schuld, Charme, Flucht und Bindung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Schuldmarke und Dialog-/Questloesungen.",passive_2,Schuldmarke,"[""passive""]",Talentreihe 2,"Gibt dem Glasfuchs einen kleinen, aber buildpraegenden Bonus."
Tarek al-Sahir,char_tarek,0,passiv,ab_char_tarek_passive_3,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Bindungsschwur,"Passiver Bonus, der Tarek al-Sahirs Thema 'Schuld, Charme, Flucht und Bindung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Schuldmarke und Dialog-/Questloesungen.",passive_3,Schuldmarke,"[""passive""]",Talentreihe 3,"Gibt dem Glasfuchs einen kleinen, aber buildpraegenden Bonus."
Tarek al-Sahir,char_tarek,10,Hitze 20,ab_char_tarek_vehicle_1,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Sandsegelboost,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_1,Schuldmarke,"[""vehicle"", ""Sandsegler"", ""Schuldmarke""]",Glasfuchs Modulstufe 1,"Sandsegelboost ist die Signaturtechnik des Glasfuchs (Sandsegler). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Tarek al-Sahir,char_tarek,18,Hitze 35,ab_char_tarek_vehicle_2,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Koederfackel,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_2,Schuldmarke,"[""vehicle"", ""Sandsegler"", ""Schuldmarke""]",Glasfuchs Modulstufe 2,"Koederfackel ist die Signaturtechnik des Glasfuchs (Sandsegler). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Tarek al-Sahir,char_tarek,30,Resonanzkern,ab_char_tarek_vehicle_3,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Schuldenpflug,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_3,Schuldmarke,"[""vehicle"", ""Sandsegler"", ""Schuldmarke""]",Glasfuchs Modulstufe 3,"Schuldenpflug ist die Signaturtechnik des Glasfuchs (Sandsegler). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
Siofra Nhal,char_siofra,0,keine,ab_char_siofra_basic,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Siofras Grundkette,"Schnelle Standardkombo, die Ressourcen erzeugt und den Charakterrhythmus lehrt. Spielt praezise, lauernd, organisch.",basic,Harzbindung,"[""Ranger / Fallenbinderin"", ""Harzbindung""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Siofra Nhal,char_siofra,4,keine,ab_char_siofra_heavy,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Siofras Brecher,"Langsamer, schwerer Treffer mit hohem Haltungs- und Fahrzeugpanzer-Schaden. Spielt praezise, lauernd, organisch.",heavy,Harzbindung,"[""Ranger / Fallenbinderin"", ""Harzbindung""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Siofra Nhal,char_siofra,8,1 Fokus,ab_char_siofra_skill_1,"Wenn ein zweiter Spieler waehrend Namenspfeil ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Namenspfeil,"Namenspfeil ist eine Kerntechnik fuer Ranger / Fallenbinderin: sie setzt Harzbindung ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_1,Harzbindung,"[""Wurzelwald Nhal"", ""Harzbindung"", ""onfoot""]",Kapitel 3: Der Wald vergisst / Bindung 1,"Im Moorkaefer wird Namenspfeil als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Siofra Nhal,char_siofra,12,2 Fokus,ab_char_siofra_skill_2,"Wenn ein zweiter Spieler waehrend Wurzelfalle ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Wurzelfalle,"Wurzelfalle ist eine Kerntechnik fuer Ranger / Fallenbinderin: sie setzt Harzbindung ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_2,Harzbindung,"[""Wurzelwald Nhal"", ""Harzbindung"", ""onfoot""]",Kapitel 3: Der Wald vergisst / Bindung 1,"Im Moorkaefer wird Wurzelfalle als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Siofra Nhal,char_siofra,16,1 Resonanz,ab_char_siofra_skill_3,"Wenn ein zweiter Spieler waehrend Moosmantel ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Moosmantel,"Moosmantel ist eine Kerntechnik fuer Ranger / Fallenbinderin: sie setzt Harzbindung ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_3,Harzbindung,"[""Wurzelwald Nhal"", ""Harzbindung"", ""onfoot""]",Kapitel 3: Der Wald vergisst / Bindung 2,"Im Moorkaefer wird Moosmantel als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Siofra Nhal,char_siofra,20,2 Resonanz,ab_char_siofra_skill_4,"Wenn ein zweiter Spieler waehrend Chor der Dornen ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Chor der Dornen,"Chor der Dornen ist eine Kerntechnik fuer Ranger / Fallenbinderin: sie setzt Harzbindung ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_4,Harzbindung,"[""Wurzelwald Nhal"", ""Harzbindung"", ""onfoot""]",Kapitel 3: Der Wald vergisst / Bindung 3,"Im Moorkaefer wird Chor der Dornen als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Siofra Nhal,char_siofra,90,volle Resonanz,ab_char_siofra_ultimate,"Andere Spieler koennen innerhalb von 5 Sekunden einen Ultimate-Anker setzen, wodurch eine Konvoi-Ultimate entsteht.",Der Wald nennt dich,"Ultimative Charaktertechnik: Der Wald nennt dich verwandelt den persoenlichen Konflikt von Siofra Nhal in ein grosses Kampfereignis mit Schadens-, Kontroll- und Story-Callout.",ultimate,Harzbindung,"[""ultimate"", ""Harzbindung""]",Bindung 3 oder Story-Schluessel fuer Siofra Nhal,"Im Fahrzeug loest Der Wald nennt dich einen Signatur-Overdrive des Moorkaefer aus, inklusive Spezialkamera und Teamfenster."
Siofra Nhal,char_siofra,0,passiv,ab_char_siofra_passive_1,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Narbeninstinkt,"Passiver Bonus, der Siofra Nhals Thema 'Namen, Erinnerung, Naturresonanz' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Harzbindung und Dialog-/Questloesungen.",passive_1,Harzbindung,"[""passive""]",Talentreihe 1,"Gibt dem Moorkaefer einen kleinen, aber buildpraegenden Bonus."
Siofra Nhal,char_siofra,0,passiv,ab_char_siofra_passive_2,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Regionale Handschrift,"Passiver Bonus, der Siofra Nhals Thema 'Namen, Erinnerung, Naturresonanz' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Harzbindung und Dialog-/Questloesungen.",passive_2,Harzbindung,"[""passive""]",Talentreihe 2,"Gibt dem Moorkaefer einen kleinen, aber buildpraegenden Bonus."
