character,character_id,cost,database_note,drawback,effect,id,name,tier,unlock
Lyra Dorn,char_lyra,19 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_11,Schicksalswahl A: Lyra,4,Level 22 oder Bindung 4
Lyra Dorn,char_lyra,20 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_12,Schicksalswahl B: Lyra,4,Level 24 oder Bindung 4
Mira Voss,char_mira,3 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_01,Taktischer Einstieg: Mira,1,Level 2 oder Bindung 1
Mira Voss,char_mira,4 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_02,Sicherer Rhythmus: Mira,1,Level 4 oder Bindung 1
Mira Voss,char_mira,5 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_03,Statusmeisterschaft: Mira,1,Level 6 oder Bindung 1
Mira Voss,char_mira,8 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_04,Riskanter Vorteil: Mira,2,Level 8 oder Bindung 2
Mira Voss,char_mira,9 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_05,Fahrzeugkopplung: Mira,2,Level 10 oder Bindung 2
Mira Voss,char_mira,10 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_06,Companion-Callout: Mira,2,Level 12 oder Bindung 2
Mira Voss,char_mira,13 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_07,Regionale Praxis: Mira,3,Level 14 oder Bindung 3
Mira Voss,char_mira,14 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_08,Signaturmod: Mira,3,Level 16 oder Bindung 3
Mira Voss,char_mira,15 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_09,Meisterschaftsknoten: Mira,3,Level 18 oder Bindung 3
Mira Voss,char_mira,18 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_10,Koop-Resonanz: Mira,4,Level 20 oder Bindung 4
Mira Voss,char_mira,19 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_11,Schicksalswahl A: Mira,4,Level 22 oder Bindung 4
Mira Voss,char_mira,20 Laternenfunken,"Pflichtknoten fuer Builds, die Controller / Runenbrecherin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Mira Vosss Siegelriss-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch/Scherbenkrone.",up_char_mira_12,Schicksalswahl B: Mira,4,Level 24 oder Bindung 4
Tarek al-Sahir,char_tarek,3 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_01,Taktischer Einstieg: Tarek,1,Level 2 oder Bindung 1
Tarek al-Sahir,char_tarek,4 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_02,Sicherer Rhythmus: Tarek,1,Level 4 oder Bindung 1
Tarek al-Sahir,char_tarek,5 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_03,Statusmeisterschaft: Tarek,1,Level 6 oder Bindung 1
Tarek al-Sahir,char_tarek,8 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_04,Riskanter Vorteil: Tarek,2,Level 8 oder Bindung 2
Tarek al-Sahir,char_tarek,9 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_05,Fahrzeugkopplung: Tarek,2,Level 10 oder Bindung 2
Tarek al-Sahir,char_tarek,10 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_06,Companion-Callout: Tarek,2,Level 12 oder Bindung 2
Tarek al-Sahir,char_tarek,13 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_07,Regionale Praxis: Tarek,3,Level 14 oder Bindung 3
Tarek al-Sahir,char_tarek,14 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_08,Signaturmod: Tarek,3,Level 16 oder Bindung 3
Tarek al-Sahir,char_tarek,15 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_09,Meisterschaftsknoten: Tarek,3,Level 18 oder Bindung 3
Tarek al-Sahir,char_tarek,18 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_10,Koop-Resonanz: Tarek,4,Level 20 oder Bindung 4
Tarek al-Sahir,char_tarek,19 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_11,Schicksalswahl A: Tarek,4,Level 22 oder Bindung 4
Tarek al-Sahir,char_tarek,20 Laternenfunken,"Pflichtknoten fuer Builds, die Skirmisher / Taeuscher mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Tarek al-Sahirs Schuldmarke-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Sonnenglasweite.",up_char_tarek_12,Schicksalswahl B: Tarek,4,Level 24 oder Bindung 4
Siofra Nhal,char_siofra,3 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_01,Taktischer Einstieg: Siofra,1,Level 2 oder Bindung 1
Siofra Nhal,char_siofra,4 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_02,Sicherer Rhythmus: Siofra,1,Level 4 oder Bindung 1
Siofra Nhal,char_siofra,5 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_03,Statusmeisterschaft: Siofra,1,Level 6 oder Bindung 1
Siofra Nhal,char_siofra,8 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_04,Riskanter Vorteil: Siofra,2,Level 8 oder Bindung 2
Siofra Nhal,char_siofra,9 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_05,Fahrzeugkopplung: Siofra,2,Level 10 oder Bindung 2
Siofra Nhal,char_siofra,10 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_06,Companion-Callout: Siofra,2,Level 12 oder Bindung 2
Siofra Nhal,char_siofra,13 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_07,Regionale Praxis: Siofra,3,Level 14 oder Bindung 3
Siofra Nhal,char_siofra,14 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_08,Signaturmod: Siofra,3,Level 16 oder Bindung 3
Siofra Nhal,char_siofra,15 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_09,Meisterschaftsknoten: Siofra,3,Level 18 oder Bindung 3
Siofra Nhal,char_siofra,18 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_10,Koop-Resonanz: Siofra,4,Level 20 oder Bindung 4
Siofra Nhal,char_siofra,19 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_11,Schicksalswahl A: Siofra,4,Level 22 oder Bindung 4
Siofra Nhal,char_siofra,20 Laternenfunken,"Pflichtknoten fuer Builds, die Ranger / Fallenbinderin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Siofra Nhals Harzbindung-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Wurzelwald Nhal.",up_char_siofra_12,Schicksalswahl B: Siofra,4,Level 24 oder Bindung 4
Brannok Reef,char_brannok,3 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_01,Taktischer Einstieg: Brannok,1,Level 2 oder Bindung 1
Brannok Reef,char_brannok,4 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_02,Sicherer Rhythmus: Brannok,1,Level 4 oder Bindung 1
Brannok Reef,char_brannok,5 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_03,Statusmeisterschaft: Brannok,1,Level 6 oder Bindung 1
Brannok Reef,char_brannok,8 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_04,Riskanter Vorteil: Brannok,2,Level 8 oder Bindung 2
Brannok Reef,char_brannok,9 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_05,Fahrzeugkopplung: Brannok,2,Level 10 oder Bindung 2
Brannok Reef,char_brannok,10 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_06,Companion-Callout: Brannok,2,Level 12 oder Bindung 2
Brannok Reef,char_brannok,13 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_07,Regionale Praxis: Brannok,3,Level 14 oder Bindung 3
Brannok Reef,char_brannok,14 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_08,Signaturmod: Brannok,3,Level 16 oder Bindung 3
Brannok Reef,char_brannok,15 Laternenfunken,"Pflichtknoten fuer Builds, die Bruiser / Harpunierer mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Brannok Reefs Tiefenruf-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Eisenbrandkueste.",up_char_brannok_09,Meisterschaftsknoten: Brannok,3,Level 18 oder Bindung 3
